                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3334,                 1.1157,                 1.2068,                0.93109,                0.58097,                0.62724,                 0.3902,                 1.3068,                0.76717,                 1.2259,             0.00047489,             0.00047489,             0.00047489
                      1,                 1.2785,                0.78968,                 1.1642,                0.95144,                 0.5931,                  0.638,                0.41496,                 1.2564,                0.66188,                 1.1911,             0.00091983,             0.00091983,             0.00091983
                      2,                 1.2784,                0.77434,                 1.1676,                0.94579,                0.58629,                0.62642,                0.40668,                  1.246,                0.69869,                 1.1884,              0.0013333,              0.0013333,              0.0013333
                      3,                  1.262,                0.75317,                  1.161,                0.95203,                0.60089,                0.63959,                0.41531,                 1.2422,                0.65015,                 1.1762,              0.0012875,              0.0012875,              0.0012875
                      4,                 1.2487,                0.72662,                  1.154,                0.95742,                0.60882,                 0.6439,                0.42248,                 1.2254,                0.61362,                 1.1687,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.2237,                0.69525,                 1.1364,                0.95994,                0.60413,                0.64313,                0.42594,                 1.2248,                0.63584,                 1.1696,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.2118,                0.67045,                 1.1301,                0.95275,                0.61713,                0.65109,                0.43624,                 1.2024,                0.57993,                 1.1545,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.2018,                 0.6584,                 1.1325,                0.96133,                0.61513,                0.65082,                0.43907,                  1.201,                0.56544,                  1.154,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.1834,                0.64759,                 1.1207,                0.96109,                0.61749,                0.65325,                0.44535,                 1.1768,                0.56326,                 1.1422,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.1829,                0.63869,                 1.1208,                0.95802,                0.61664,                0.65339,                0.43987,                 1.1836,                0.55761,                 1.1476,              0.0010517,              0.0010517,              0.0010517
                     10,                  1.167,                0.62052,                 1.1111,                 0.9567,                0.62171,                 0.6504,                0.44629,                 1.1656,                0.54852,                 1.1357,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.1568,                0.61772,                 1.1127,                0.96568,                 0.6257,                0.65604,                0.45001,                 1.1695,                0.53119,                 1.1389,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.1606,                0.61056,                 1.1017,                 0.9635,                0.62053,                0.65485,                0.44526,                  1.167,                0.53706,                 1.1314,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.1443,                0.59656,                 1.0974,                0.96052,                0.62591,                0.65733,                0.44968,                 1.1649,                0.51974,                  1.131,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.1351,                0.58357,                 1.0949,                 0.9627,                0.62502,                0.65824,                0.44995,                 1.1606,                0.52115,                 1.1308,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.1335,                0.57686,                 1.0948,                0.96495,                0.62737,                0.65887,                 0.4464,                 1.1727,                0.52186,                 1.1368,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.1258,                 0.5735,                 1.0912,                0.95903,                0.63033,                0.66122,                0.45899,                 1.1429,                 0.5007,                  1.119,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.1158,                0.56347,                 1.0874,                0.96212,                0.63048,                0.65906,                0.45647,                 1.1476,                0.49994,                 1.1227,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.1098,                0.55381,                 1.0805,                0.96325,                0.62875,                0.66183,                 0.4576,                 1.1497,                0.50069,                  1.121,             0.00062733,             0.00062733,             0.00062733
                     19,                 1.0981,                0.54838,                  1.077,                0.96088,                0.62854,                0.66267,                0.45698,                 1.1416,                0.50056,                 1.1185,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.0888,                0.54155,                 1.0671,                0.96358,                   0.63,                0.65998,                0.46097,                 1.1292,                0.48314,                 1.1106,             0.00053302,             0.00053302,             0.00053302
                     21,                 1.0786,                0.53471,                 1.0683,                0.96677,                0.62816,                0.66363,                0.46249,                 1.1353,                0.48202,                 1.1086,             0.00048586,             0.00048586,             0.00048586
                     22,                  1.079,                0.52863,                 1.0594,                0.96948,                0.62464,                 0.6622,                0.45973,                 1.1475,                0.48542,                 1.1192,              0.0004387,              0.0004387,              0.0004387
                     23,                 1.0682,                 0.5182,                 1.0584,                0.96277,                0.63367,                0.66344,                0.46616,                 1.1259,                0.47015,                 1.1054,             0.00039155,             0.00039155,             0.00039155
                     24,                 1.0525,                0.50937,                 1.0491,                0.96598,                0.63309,                0.66469,                0.46506,                 1.1305,                0.47081,                 1.1105,             0.00034439,             0.00034439,             0.00034439
                     25,                 1.0499,                0.50337,                 1.0515,                0.96485,                0.63385,                 0.6642,                0.46593,                 1.1255,                 0.4663,                 1.1052,             0.00029723,             0.00029723,             0.00029723
                     26,                 1.0419,                0.49911,                 1.0492,                0.96482,                0.63477,                0.66344,                0.46571,                 1.1295,                0.46497,                 1.1097,             0.00025007,             0.00025007,             0.00025007
                     27,                 1.0267,                 0.4848,                  1.039,                0.96725,                0.63174,                0.66276,                0.46832,                 1.1165,                0.46244,                 1.1051,             0.00020292,             0.00020292,             0.00020292
                     28,                 1.0217,                0.48276,                 1.0336,                0.61017,                0.67726,                0.66502,                0.46821,                 1.1251,                0.46432,                 1.1057,             0.00015576,             0.00015576,             0.00015576
                     29,                 1.0181,                0.47924,                 1.0321,                0.96573,                0.63436,                0.66378,                0.46952,                 1.1146,                0.45792,                 1.1023,              0.0001086,              0.0001086,              0.0001086
